REGIÃO,ESTADO,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Região Norte,Rondônia,489253,549675,611185,673123,736190,798713,859053,918465,976922,1034460,1090093,1148662,1175547,1202280,1229086,1255878,1282715,1309645,1336745,1364166,1391860,1405885,1419732,1433254,1446370,1459006,1471105,1482631,1493566,1503928,1513758,1523079,1531920,1540336,1548375,1556082,1563502,1570666,1577598,1584312,1590820,1597127,1603230,1609117,1614764,1620149,1625245,1630021,1634457,1638532,1642229,1645530
Região Norte,Acre,300189,311583,323182,334863,346756,358546,369925,381129,392153,403004,413495,422341,438834,455233,471677,488112,504575,521095,537720,554541,571529,586497,601275,615707,629704,643189,656102,668403,680073,691132,701623,711570,721006,729988,738567,746793,754711,762357,769755,776920,783866,790598,797111,803393,809420,815167,820605,825702,830437,834786,838732,842254
Região Norte,Amazonas,1424800,1490051,1556478,1623367,1691475,1758995,1824159,1888320,1951449,2013587,2073666,2127602,2205034,2282029,2359234,2436396,2513691,2591252,2669305,2748281,2828042,2898793,2968642,3036856,3103019,3166759,3227796,3285935,3341098,3393369,3442959,3489977,3534574,3577029,3617583,3656462,3693889,3730028,3764998,3798866,3831695,3863514,3894301,3923994,3952483,3979648,4005351,4029445,4051821,4072379,4091030,4107680
Região Norte,Roraima,78866,91847,105062,118369,131918,145350,158314,171078,183637,195998,207950,219349,231276,243135,255027,266912,278817,290764,302786,314951,327236,339033,350680,362054,373086,383714,393891,403585,412783,421499,429767,437607,445043,452122,458884,465367,471608,477634,483464,489111,494585,499891,505024,509975,514726,519255,523541,527558,531289,534717,537827,540603
Região Norte,Pará,3390803,3540968,3693835,3847768,4004506,4159890,4309852,4457505,4602786,4745784,4884045,5016290,5152286,5287514,5423111,5558632,5694386,5830609,5967696,6106403,6246489,6394733,6541088,6684018,6822649,6956204,7084093,7205914,7321495,7431020,7534925,7633442,7726888,7815843,7900816,7982279,8060700,8136423,8209696,8280659,8349445,8416116,8480623,8542840,8602533,8659452,8713307,8763791,8810676,8853751,8892830,8927718
Região Norte,Amapá,174609,185536,196660,207862,219268,230575,241487,252232,262804,273210,283271,290747,311802,332738,353731,374713,395730,416820,438044,459519,481207,499404,517369,534914,551931,568325,584023,598977,613164,626609,639363,651456,662927,673846,684276,694276,703902,713197,722191,730902,739346,747530,755448,763085,770412,777399,784010,790207,795962,801249,806046,810329
Região Norte,Tocantins,736151,754415,773007,791729,810793,829691,847930,865889,883559,900951,917767,932030,958030,983883,1009806,1035715,1061668,1087711,1113920,1140437,1167219,1182842,1198265,1213328,1227938,1242013,1255490,1268328,1280509,1292051,1303001,1313383,1323231,1332606,1341561,1350146,1358410,1366390,1374112,1381591,1388840,1395866,1402664,1409221,1415511,1421510,1427185,1432506,1437447,1441986,1446105,1449781
Região Nordeste,Maranhão,3981622,4076237,4172554,4269543,4368299,4466202,4560689,4653721,4745259,4835358,4922472,5007534,5084188,5160409,5236837,5313223,5389740,5466521,5543790,5621971,5700930,5784306,5866620,5947006,6024976,6100090,6172018,6240533,6305538,6367138,6425576,6480984,6533540,6583571,6631362,6677178,6721284,6763872,6805083,6844994,6883681,6921178,6957458,6992450,7026023,7058036,7088325,7116718,7143088,7167314,7189293,7208915
Região Nordeste,Piauí,2131109,2176498,2222703,2269231,2316606,2363573,2408900,2453530,2497442,2540664,2582455,2625168,2652030,2678740,2705522,2732290,2759104,2786010,2813087,2840484,2868153,2902841,2937087,2970532,3002971,3034221,3064147,3092652,3119697,3145325,3169638,3192690,3214556,3235371,3255254,3274316,3292666,3310384,3327530,3344135,3360230,3375831,3390925,3405483,3419451,3432770,3445371,3457184,3468155,3478234,3487378,3495542
Região Nordeste,Ceará,5268693,5379322,5491941,5605346,5720817,5835290,5945769,6054548,6161578,6266926,6368785,6463534,6577637,6691095,6804863,6918567,7032467,7146759,7261778,7378155,7495689,7627362,7757357,7884310,8007444,8126070,8239663,8347866,8450527,8547809,8640099,8727603,8810603,8889615,8965090,9037446,9107101,9174359,9239441,9302472,9363568,9422787,9480083,9535345,9588365,9638922,9686757,9731597,9773241,9811502,9846212,9877200
